DIR,YAML_FULL_PATH,WITHIN_MANIFEST_SECRET,VALID_TAINT_SECRET,SEC_CONT_OVER_PRIVIL,INSECURE_HTTP,NO_SECU_CONTEXT,NO_DEFAULT_NSPACE,NO_RESO,NO_ROLLING_UPDATE,NO_NETWORK_POLICY,TRUE_HOST_PID,TRUE_HOST_IPC,DOCKERSOCK_PATH,TRUE_HOST_NET,CAP_SYS_ADMIN,HOST_ALIAS,ALLOW_PRIVI,SECCOMP_UNCONFINED,CAP_SYS_MODULE,K8S_STATUS,HELM_STATUS
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/tutorial-gke-security/manifest/root/pod.yaml,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/ud615/kubernetes/pods/healthy-monolith.yaml,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/ud615/kubernetes/pods/monolith.yaml,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/ud615/kubernetes/pods/secure-monolith.yaml,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/ud615/kubernetes/deployments/auth.yaml,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/ud615/kubernetes/deployments/hello.yaml,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/ud615/kubernetes/deployments/frontend.yaml,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/ud615/kubernetes/services/auth.yaml,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/ud615/kubernetes/services/hello.yaml,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
/SLI-KUBE-WORK/KubeSec-master/workshop3/,/SLI-KUBE-WORK/KubeSec-master/workshop3/ud615/kubernetes/services/frontend.yaml,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE,FALSE
